Winner,SecondD,B365W,Tournament,Round
Dimitrov G.,20/01/16,1.04,Australian Open,2nd Round
Dimitrov G.,30/08/17,1.01,US Open,1st Round
Dimitrov G.,4/7/2017,1.06,Wimbledon,1st Round
Dimitrov G.,6/7/2017,1.14,Wimbledon,2nd Round
Dimitrov G.,8/7/2017,1.05,Wimbledon,3rd Round
Dimitrov G.,28/05/17,1.01,French Open,1st Round
Dimitrov G.,31/05/17,1.16,French Open,2nd Round
Dimitrov G.,17/01/17,1.02,Australian Open,1st Round
Dimitrov G.,19/01/17,1.11,Australian Open,2nd Round
Dimitrov G.,21/01/17,1.57,Australian Open,3rd Round
Dimitrov G.,23/01/17,1.11,Australian Open,4th Round
Dimitrov G.,25/01/17,1.57,Australian Open,Quarterfinals
Dimitrov G.,27/05/18,NA,French Open,1st Round
Dimitrov G.,30/05/18,1.14,French Open,2nd Round
Dimitrov G.,15/01/18,1.01,Australian Open,1st Round
Dimitrov G.,17/01/18,1.02,Australian Open,2nd Round
Dimitrov G.,19/01/18,1.44,Australian Open,3rd Round
Dimitrov G.,21/01/18,2.3,Australian Open,4th Round
Dimitrov G.,1/9/2019,2.75,US Open,4th Round
Dimitrov G.,4/9/2019,9,US Open,Quarterfinals
Dimitrov G.,26/08/2019,1.33,US Open,1st Round
Dimitrov G.,28/08/2019,2.3,US Open,2nd Round
Dimitrov G.,30/08/2019,1.28,US Open,3rd Round
Dimitrov G.,26/05/2019,1.16,French Open,1st Round
Dimitrov G.,29/05/2019,2.5,French Open,2nd Round
Dimitrov G.,14/01/2019,1.06,Australian Open,1st Round
Dimitrov G.,16/01/2019,1.12,Australian Open,2nd Round
Dimitrov G.,18/01/2019,1.07,Australian Open,3rd Round
Haider-Maurer A.,21/06/11,1.66,Wimbledon,1st Round
Haider-Maurer A.,24/05/11,1.72,French Open,1st Round
Haider-Maurer A.,26/08/13,13,US Open,1st Round
Haider-Maurer A.,23/06/14,2.62,Wimbledon,1st Round
Haider-Maurer A.,27/05/14,1.12,French Open,1st Round
Haider-Maurer A.,31/08/15,5,US Open,1st Round
Haider-Maurer A.,20/01/15,1.5,Australian Open,1st Round
Raonic M.,20/06/11,NA,Wimbledon,1st Round
Raonic M.,18/01/11,1.53,Australian Open,1st Round
Raonic M.,20/01/11,2.5,Australian Open,2nd Round
Raonic M.,22/01/11,3.5,Australian Open,3rd Round
Raonic M.,1/9/2012,1.33,US Open,3rd Round
Raonic M.,28/08/12,1.07,US Open,1st Round
Raonic M.,30/08/12,1.18,US Open,2nd Round
Raonic M.,27/06/12,1.08,Wimbledon,1st Round
Raonic M.,28/05/12,1.12,French Open,1st Round
Raonic M.,31/05/12,1.05,French Open,2nd Round
Raonic M.,17/01/12,1.01,Australian Open,1st Round
Raonic M.,19/01/12,1.28,Australian Open,2nd Round
Raonic M.,27/08/13,1.04,US Open,1st Round
Raonic M.,30/08/13,1.07,US Open,2nd Round
Raonic M.,31/08/13,1.36,US Open,3rd Round
Raonic M.,25/06/13,1.12,Wimbledon,1st Round
Raonic M.,26/05/13,1.07,French Open,1st Round
Raonic M.,29/05/13,1.28,French Open,2nd Round
Raonic M.,15/01/13,1.03,Australian Open,1st Round
Raonic M.,17/01/13,1.18,Australian Open,2nd Round
Raonic M.,19/01/13,1.61,Australian Open,3rd Round
Raonic M.,25/08/14,1.02,US Open,1st Round
Raonic M.,28/08/14,1.08,US Open,2nd Round
Raonic M.,30/08/14,1.05,US Open,3rd Round
Raonic M.,1/7/2014,1.8,Wimbledon,4th Round
Raonic M.,2/7/2014,1.36,Wimbledon,Quarterfinals
Raonic M.,24/06/14,1.11,Wimbledon,1st Round
Raonic M.,26/06/14,1.16,Wimbledon,2nd Round
Raonic M.,28/06/14,1.1,Wimbledon,3rd Round
Raonic M.,1/6/2014,1.2,French Open,4th Round
Raonic M.,25/05/14,1.07,French Open,1st Round
Raonic M.,28/05/14,1.22,French Open,2nd Round
Raonic M.,30/05/14,1.38,French Open,3rd Round
Raonic M.,14/01/14,1.04,Australian Open,1st Round
Raonic M.,16/01/14,1.12,Australian Open,2nd Round
Raonic M.,2/9/2015,1.44,US Open,2nd Round
Raonic M.,31/08/15,1.07,US Open,1st Round
Raonic M.,1/7/2015,1.16,Wimbledon,2nd Round
Raonic M.,29/06/15,1.02,Wimbledon,1st Round
Raonic M.,20/01/15,1.05,Australian Open,1st Round
Raonic M.,22/01/15,1.05,Australian Open,2nd Round
Raonic M.,24/01/15,1.07,Australian Open,3rd Round
Raonic M.,26/01/15,1.14,Australian Open,4th Round
Raonic M.,30/08/16,1.03,US Open,1st Round
Raonic M.,2/7/2016,1.14,Wimbledon,3rd Round
Raonic M.,4/7/2016,1.16,Wimbledon,4th Round
Raonic M.,6/7/2016,1.28,Wimbledon,Quarterfinals
Raonic M.,8/7/2016,2.62,Wimbledon,Semifinals
Raonic M.,27/06/16,1.01,Wimbledon,1st Round
Raonic M.,30/06/16,1.12,Wimbledon,2nd Round
Raonic M.,23/05/16,1.02,French Open,1st Round
Raonic M.,25/05/16,1.07,French Open,2nd Round
Raonic M.,27/05/16,1.03,French Open,3rd Round
Raonic M.,19/01/16,1.06,Australian Open,1st Round
Raonic M.,21/01/16,1.07,Australian Open,2nd Round
Raonic M.,23/01/16,1.2,Australian Open,3rd Round
Raonic M.,25/01/16,2.37,Australian Open,4th Round
Raonic M.,27/01/16,1.36,Australian Open,Quarterfinals
Raonic M.,4/7/2017,1.12,Wimbledon,1st Round
Raonic M.,6/7/2017,1.05,Wimbledon,2nd Round
Raonic M.,8/7/2017,1.1,Wimbledon,3rd Round
Raonic M.,10/7/2017,1.72,Wimbledon,4th Round
Raonic M.,2/6/2017,1.08,French Open,3rd Round
Raonic M.,29/05/17,1.08,French Open,1st Round
Raonic M.,31/05/17,1.05,French Open,2nd Round
Raonic M.,17/01/17,1.05,Australian Open,1st Round
Raonic M.,19/01/17,1.22,Australian Open,2nd Round
Raonic M.,21/01/17,1.16,Australian Open,3rd Round
Raonic M.,23/01/17,1.2,Australian Open,4th Round
Raonic M.,1/9/2018,1.66,US Open,3rd Round
Raonic M.,27/08/2018,1.03,US Open,1st Round
Raonic M.,29/08/2018,1.25,US Open,2nd Round
Raonic M.,2/7/2018,1.1,Wimbledon,1st Round
Raonic M.,4/7/2018,1.12,Wimbledon,2nd Round
Raonic M.,7/7/2018,1.08,Wimbledon,3rd Round
Raonic M.,9/7/2018,1.11,Wimbledon,4th Round
Raonic M.,1/7/2019,1.05,Wimbledon,1st Round
Raonic M.,3/7/2019,1.11,Wimbledon,2nd Round
Raonic M.,5/7/2019,1.33,Wimbledon,3rd Round
Raonic M.,15/01/2019,1.8,Australian Open,1st Round
Raonic M.,17/01/2019,1.3,Australian Open,2nd Round
Raonic M.,19/01/2019,1.16,Australian Open,3rd Round
Raonic M.,21/01/2019,2.2,Australian Open,4th Round
Ramos A.,23/05/11,1.36,French Open,1st Round
Ramos A.,27/08/12,1.61,US Open,1st Round
Rosol L.,24/05/11,2,French Open,1st Round
Rosol L.,26/05/11,5.5,French Open,2nd Round
Rosol L.,26/06/12,2,Wimbledon,1st Round
Rosol L.,28/06/12,29,Wimbledon,2nd Round
Rosol L.,29/05/12,4.33,French Open,1st Round
Rosol L.,27/05/13,1.36,French Open,1st Round
Rosol L.,15/01/13,1.28,Australian Open,1st Round
Rosol L.,24/06/14,1.53,Wimbledon,1st Round
Rosol L.,1/9/2015,1.53,US Open,1st Round
Rosol L.,30/06/15,2.25,Wimbledon,1st Round
Rosol L.,24/05/15,1.44,French Open,1st Round
Rosol L.,27/05/15,4.5,French Open,2nd Round
Rosol L.,19/01/15,1.57,Australian Open,1st Round
Rosol L.,19/01/16,1.33,Australian Open,1st Round
Rosol L.,21/01/16,2.75,Australian Open,2nd Round
Rosol L.,3/7/2017,1.28,Wimbledon,1st Round
Schoorel T.,23/05/11,1.57,French Open,1st Round
Teixeira M.,22/05/11,1.57,French Open,1st Round
Gil F.,17/01/11,3,Australian Open,1st Round
Gil F.,17/01/12,3.75,Australian Open,1st Round
Gil F.,19/01/12,3.5,Australian Open,2nd Round
Dutra Silva R.,28/08/12,2.75,US Open,1st Round
Dutra Silva R.,27/08/13,6.5,US Open,1st Round
Dutra Silva R.,29/05/17,1.66,French Open,1st Round
Dutra Silva R.,17/01/17,4,Australian Open,1st Round
Ebden M.,27/08/12,2,US Open,1st Round
Ebden M.,17/01/12,1.14,Australian Open,1st Round
Ebden M.,25/08/14,3,US Open,1st Round
Ebden M.,13/01/14,2.37,Australian Open,1st Round
Ebden M.,29/06/15,1.16,Wimbledon,1st Round
Ebden M.,28/08/2018,2.2,US Open,1st Round
Ebden M.,3/7/2018,2.75,Wimbledon,1st Round
Ebden M.,5/7/2018,1.2,Wimbledon,2nd Round
Ebden M.,15/01/18,3.5,Australian Open,1st Round
Ebden M.,14/01/2019,2.3,Australian Open,1st Round
Johnson S.,29/08/12,1.72,US Open,1st Round
Johnson S.,31/08/12,2.75,US Open,2nd Round
Johnson S.,28/05/14,1.25,French Open,1st Round
Johnson S.,29/06/15,1.36,Wimbledon,1st Round
Johnson S.,24/05/15,5,French Open,1st Round
Johnson S.,27/05/15,1.61,French Open,2nd Round
Johnson S.,20/01/15,1.16,Australian Open,1st Round
Johnson S.,22/01/15,1.44,Australian Open,2nd Round
Johnson S.,30/08/16,1.12,US Open,1st Round
Johnson S.,2/7/2016,2.2,Wimbledon,3rd Round
Johnson S.,27/06/16,1.16,Wimbledon,1st Round
Johnson S.,30/06/16,1.53,Wimbledon,2nd Round
Johnson S.,19/01/16,1.57,Australian Open,1st Round
Johnson S.,21/01/16,1.53,Australian Open,2nd Round
Johnson S.,28/08/17,1.12,US Open,1st Round
Johnson S.,3/7/2017,1.04,Wimbledon,1st Round
Johnson S.,5/7/2017,1.2,Wimbledon,2nd Round
Johnson S.,29/05/17,1.22,French Open,1st Round
Johnson S.,31/05/17,2.62,French Open,2nd Round
Johnson S.,16/01/17,1.28,Australian Open,1st Round
Johnson S.,27/08/2018,1.28,US Open,1st Round
Johnson S.,29/05/18,1.5,French Open,1st Round
Johnson S.,31/05/18,1.66,French Open,2nd Round
Johnson S.,2/7/2019,1.16,Wimbledon,1st Round
Johnson S.,4/7/2019,2.37,Wimbledon,2nd Round
Klahn B.,29/08/12,2.75,US Open,1st Round
Klahn B.,26/08/13,1.4,US Open,1st Round
Klahn B.,3/7/2018,3.5,Wimbledon,1st Round
Klahn B.,26/08/2019,1.57,US Open,1st Round
Klizan M.,1/9/2012,2.37,US Open,3rd Round
Klizan M.,28/08/12,1.8,US Open,1st Round
Klizan M.,30/08/12,13,US Open,2nd Round
Klizan M.,25/06/12,1.36,Wimbledon,1st Round
Klizan M.,28/05/12,1.14,French Open,1st Round
Klizan M.,27/05/13,1.12,French Open,1st Round
Klizan M.,27/08/14,1.72,US Open,1st Round
Klizan M.,26/05/14,6,French Open,1st Round
Klizan M.,28/05/14,1.36,French Open,2nd Round
Klizan M.,14/01/14,7,Australian Open,1st Round
Klizan M.,16/01/14,1.57,Australian Open,2nd Round
Klizan M.,31/08/15,1.25,US Open,1st Round
Klizan M.,25/05/15,1.18,French Open,1st Round
Klizan M.,19/01/15,1.33,Australian Open,1st Round
Klizan M.,30/05/17,1.22,French Open,1st Round
Klizan M.,27/05/18,1.5,French Open,1st Round
Klizan M.,28/05/2019,1.57,French Open,1st Round
Klizan M.,31/05/2019,3,French Open,2nd Round
Novikov D.,28/08/12,11,US Open,1st Round
Novikov D.,28/06/16,1.61,Wimbledon,1st Round
Sijsling I.,29/08/12,1.22,US Open,1st Round
Sijsling I.,25/06/13,1.18,Wimbledon,1st Round
Sijsling I.,27/06/13,3,Wimbledon,2nd Round
Sijsling I.,27/05/13,1.66,French Open,1st Round
Sijsling I.,22/05/16,2.1,French Open,1st Round
Smyczek T.,27/08/12,2,US Open,1st Round
Smyczek T.,28/08/13,1.38,US Open,1st Round
Smyczek T.,30/08/13,2.1,US Open,2nd Round
Smyczek T.,14/01/13,2,Australian Open,1st Round
Smyczek T.,26/08/14,1.66,US Open,1st Round
Smyczek T.,19/01/15,1.3,Australian Open,1st Round
Smyczek T.,19/01/16,1.25,Australian Open,1st Round
Smyczek T.,16/01/18,1.28,Australian Open,1st Round
Stebe C.M.,29/08/12,4.33,US Open,1st Round
Stebe C.M.,27/05/12,1.53,French Open,1st Round
Stebe C.M.,30/08/17,1.11,US Open,1st Round
Stebe C.M.,27/08/2019,5,US Open,1st Round
Wang J.,28/08/12,2.1,US Open,1st Round
Wang J.,25/06/13,1.4,Wimbledon,1st Round
Wang J.,23/06/14,1.2,Wimbledon,1st Round
Wang J.,25/06/14,4.33,Wimbledon,2nd Round
Zopp J.,28/08/12,4.33,US Open,1st Round
Zopp J.,27/05/14,8.5,French Open,1st Round
Zopp J.,29/05/18,4,French Open,1st Round
Zopp J.,31/05/18,1.72,French Open,2nd Round
Bemelmans R.,25/06/12,1.57,Wimbledon,1st Round
Bemelmans R.,1/9/2015,5.5,US Open,1st Round
Bemelmans R.,3/9/2015,5.5,US Open,2nd Round
Bemelmans R.,3/7/2017,3,Wimbledon,1st Round
Bemelmans R.,5/7/2017,5.5,Wimbledon,2nd Round
Bemelmans R.,2/7/2018,2.75,Wimbledon,1st Round
Bemelmans R.,29/05/18,1.9,French Open,1st Round
Bemelmans R.,15/01/18,5,Australian Open,1st Round
Cervantes I.,25/06/12,2.25,Wimbledon,1st Round
De Schepper K.,26/06/12,1.66,Wimbledon,1st Round
De Schepper K.,24/06/13,1.4,Wimbledon,1st Round
De Schepper K.,26/06/13,10,Wimbledon,2nd Round
De Schepper K.,29/06/13,2.75,Wimbledon,3rd Round
De Schepper K.,26/05/14,4.5,French Open,1st Round
De Schepper K.,13/01/14,1.83,Australian Open,1st Round
De Schepper K.,29/06/15,1.53,Wimbledon,1st Round
Goffin D.,26/06/12,4,Wimbledon,1st Round
Goffin D.,28/06/12,1.57,Wimbledon,2nd Round
Goffin D.,1/6/2012,2.5,French Open,3rd Round
Goffin D.,28/05/12,2.75,French Open,1st Round
Goffin D.,31/05/12,1.28,French Open,2nd Round
Goffin D.,27/08/14,1.05,US Open,1st Round
Goffin D.,29/08/14,1.2,US Open,2nd Round
Goffin D.,2/9/2015,1.16,US Open,2nd Round
Goffin D.,31/08/15,1.25,US Open,1st Round
Goffin D.,1/7/2015,1.06,Wimbledon,2nd Round
Goffin D.,3/7/2015,1.53,Wimbledon,3rd Round
Goffin D.,29/06/15,1.11,Wimbledon,1st Round
Goffin D.,25/05/15,1.11,French Open,1st Round
Goffin D.,28/05/15,1.28,French Open,2nd Round
Goffin D.,19/01/15,1.12,Australian Open,1st Round
Goffin D.,2/7/2016,1.14,Wimbledon,3rd Round
Goffin D.,27/06/16,1.04,Wimbledon,1st Round
Goffin D.,30/06/16,1.11,Wimbledon,2nd Round
Goffin D.,1/6/2016,1.33,French Open,4th Round
Goffin D.,24/05/16,1.01,French Open,1st Round
Goffin D.,26/05/16,1.12,French Open,2nd Round
Goffin D.,28/05/16,1.44,French Open,3rd Round
Goffin D.,18/01/16,1.12,Australian Open,1st Round
Goffin D.,20/01/16,1.04,Australian Open,2nd Round
Goffin D.,22/01/16,2.37,Australian Open,3rd Round
Goffin D.,2/9/2017,2.3,US Open,3rd Round
Goffin D.,30/08/17,1.25,US Open,1st Round
Goffin D.,31/08/17,1.33,US Open,2nd Round
Goffin D.,29/05/17,1.07,French Open,1st Round
Goffin D.,31/05/17,1.04,French Open,2nd Round
Goffin D.,17/01/17,1.16,Australian Open,1st Round
Goffin D.,19/01/17,1.25,Australian Open,2nd Round
Goffin D.,21/01/17,1.25,Australian Open,3rd Round
Goffin D.,23/01/17,1.66,Australian Open,4th Round
Goffin D.,2/9/2018,1.14,US Open,3rd Round
Goffin D.,28/08/2018,1.06,US Open,1st Round
Goffin D.,30/08/2018,1.25,US Open,2nd Round
Goffin D.,2/6/2018,1.36,French Open,3rd Round
Goffin D.,27/05/18,1.14,French Open,1st Round
Goffin D.,30/05/18,1.1,French Open,2nd Round
Goffin D.,16/01/18,1.03,Australian Open,1st Round
Goffin D.,26/08/2019,1.08,US Open,1st Round
Goffin D.,29/08/2019,1.08,US Open,2nd Round
Goffin D.,30/08/2019,1.36,US Open,3rd Round
Goffin D.,1/7/2019,1.04,Wimbledon,1st Round
Goffin D.,3/7/2019,1.3,Wimbledon,2nd Round
Goffin D.,5/7/2019,1.9,Wimbledon,3rd Round
Goffin D.,8/7/2019,1.33,Wimbledon,4th Round
Goffin D.,26/05/2019,1.08,French Open,1st Round
Goffin D.,29/05/2019,1.12,French Open,2nd Round
Goffin D.,15/01/2019,1.14,Australian Open,1st Round
Goffin D.,17/01/2019,1.2,Australian Open,2nd Round
Janowicz J.,25/06/12,2,Wimbledon,1st Round
Janowicz J.,27/06/12,2.25,Wimbledon,2nd Round
Janowicz J.,1/7/2013,1.25,Wimbledon,4th Round
Janowicz J.,3/7/2013,1.18,Wimbledon,Quarterfinals
Janowicz J.,24/06/13,1.18,Wimbledon,1st Round
Janowicz J.,26/06/13,1.57,Wimbledon,2nd Round
Janowicz J.,28/06/13,1.72,Wimbledon,3rd Round
Janowicz J.,27/05/13,1.66,French Open,1st Round
Janowicz J.,31/05/13,1.28,French Open,2nd Round
Janowicz J.,14/01/13,1.3,Australian Open,1st Round
Janowicz J.,16/01/13,1.18,Australian Open,2nd Round
Janowicz J.,27/08/14,1.33,US Open,1st Round
Janowicz J.,24/06/14,1.12,Wimbledon,1st Round
Janowicz J.,27/06/14,2.2,Wimbledon,2nd Round
Janowicz J.,25/05/14,1.18,French Open,1st Round
Janowicz J.,28/05/14,1.66,French Open,2nd Round
Janowicz J.,13/01/14,1.25,Australian Open,1st Round
Janowicz J.,15/01/14,1.25,Australian Open,2nd Round
Janowicz J.,26/05/15,1.2,French Open,1st Round
Janowicz J.,20/01/15,1.08,Australian Open,1st Round
Janowicz J.,22/01/15,3.25,Australian Open,2nd Round
Janowicz J.,3/7/2017,1.8,Wimbledon,1st Round
Janowicz J.,5/7/2017,3,Wimbledon,2nd Round
Soeda G.,26/06/12,1.44,Wimbledon,1st Round
Soeda G.,25/06/13,1.36,Wimbledon,1st Round
Soeda G.,15/01/13,1.14,Australian Open,1st Round
Soeda G.,20/01/15,1.9,Australian Open,1st Round
Ward J.,26/06/12,1.36,Wimbledon,1st Round
Ward J.,2/7/2015,2.75,Wimbledon,2nd Round
Ward J.,30/06/15,1.53,Wimbledon,1st Round
Ungur A.,28/05/12,15,French Open,1st Round
Duckworth J.,17/01/12,2.62,Australian Open,1st Round
Duckworth J.,15/01/13,1.53,Australian Open,1st Round
Duckworth J.,30/06/15,2,Wimbledon,1st Round
Duckworth J.,19/01/15,2.37,Australian Open,1st Round
Duckworth J.,29/08/16,1.8,US Open,1st Round
Ito T.,17/01/12,2.2,Australian Open,1st Round
Ito T.,14/01/13,3.75,Australian Open,1st Round
Ito T.,27/08/14,4,US Open,1st Round
Bautista R.,26/08/13,1.4,US Open,1st Round
Bautista R.,25/06/13,1.5,Wimbledon,1st Round
Bautista R.,26/05/13,1.22,French Open,1st Round
Bautista R.,14/01/13,2,Australian Open,1st Round
Bautista R.,26/08/14,1.1,US Open,1st Round
Bautista R.,29/08/14,1.36,US Open,2nd Round
Bautista R.,31/08/14,1.36,US Open,3rd Round
Bautista R.,23/06/14,1.36,Wimbledon,1st Round
Bautista R.,25/06/14,1.18,Wimbledon,2nd Round
Bautista R.,26/05/14,1.33,French Open,1st Round
Bautista R.,28/05/14,1.16,French Open,2nd Round
Bautista R.,14/01/14,1.22,Australian Open,1st Round
Bautista R.,16/01/14,11,Australian Open,2nd Round
Bautista R.,18/01/14,1.44,Australian Open,3rd Round
Bautista R.,2/9/2015,1.2,US Open,2nd Round
Bautista R.,4/9/2015,2.5,US Open,3rd Round
Bautista R.,31/08/15,1.2,US Open,1st Round
Bautista R.,2/7/2015,1.22,Wimbledon,2nd Round
Bautista R.,4/7/2015,1.22,Wimbledon,3rd Round
Bautista R.,30/06/15,1.2,Wimbledon,1st Round
Bautista R.,24/05/15,1.11,French Open,1st Round
Bautista R.,20/01/15,1.4,Australian Open,1st Round
Bautista R.,18/01/16,1.1,Australian Open,1st Round
Bautista R.,20/01/16,1.12,Australian Open,2nd Round
Bautista R.,22/01/16,3.4,Australian Open,3rd Round
Donskoy E.,29/08/13,3.4,US Open,1st Round
Donskoy E.,30/08/13,1.57,US Open,2nd Round
Donskoy E.,27/05/13,2.62,French Open,1st Round
Donskoy E.,14/01/13,1.3,Australian Open,1st Round
Donskoy E.,16/01/13,4,Australian Open,2nd Round
Donskoy E.,31/08/15,1.5,US Open,1st Round
Donskoy E.,18/01/16,1.4,Australian Open,1st Round
Donskoy E.,28/08/17,1.28,US Open,1st Round
Donskoy E.,16/01/18,1.57,Australian Open,1st Round
Donskoy E.,15/01/2019,2.1,Australian Open,1st Round
Evans D.,26/08/13,8,US Open,1st Round
Evans D.,29/08/13,3.25,US Open,2nd Round
Evans D.,2/9/2016,3.25,US Open,2nd Round
Evans D.,30/08/16,1.44,US Open,1st Round
Evans D.,27/06/16,1.72,Wimbledon,1st Round
Evans D.,30/06/16,3.25,Wimbledon,2nd Round
Evans D.,16/01/17,1.3,Australian Open,1st Round
Evans D.,18/01/17,5.5,Australian Open,2nd Round
Evans D.,20/01/17,2.25,Australian Open,3rd Round
Evans D.,26/08/2019,1.8,US Open,1st Round
Evans D.,29/08/2019,2.1,US Open,2nd Round
Evans D.,2/7/2019,1.08,Wimbledon,1st Round
Evans D.,4/7/2019,1.28,Wimbledon,2nd Round
Evans D.,14/01/2019,1.36,Australian Open,1st Round
Gojowczyk P.,29/08/13,2.37,US Open,1st Round
Gojowczyk P.,25/08/14,2.1,US Open,1st Round
Gojowczyk P.,3/7/2017,1.8,Wimbledon,1st Round
Gojowczyk P.,16/01/18,1.53,Australian Open,1st Round
Kudla D.,27/08/13,2,US Open,1st Round
Kudla D.,25/06/13,1.36,Wimbledon,1st Round
Kudla D.,24/06/14,1.5,Wimbledon,1st Round
Kudla D.,1/7/2015,1.66,Wimbledon,2nd Round
Kudla D.,3/7/2015,1.61,Wimbledon,3rd Round
Kudla D.,29/06/15,1.57,Wimbledon,1st Round
Kudla D.,18/01/16,1.36,Australian Open,1st Round
Kudla D.,27/08/2018,2,US Open,1st Round
Kudla D.,16/01/18,3.75,Australian Open,1st Round
Kudla D.,26/08/2019,1.57,US Open,1st Round
Kudla D.,29/08/2019,2.75,US Open,2nd Round
Kudla D.,1/7/2019,1.14,Wimbledon,1st Round
Kudla D.,14/01/2019,1.28,Australian Open,1st Round
Ram R.,29/08/13,5.5,US Open,1st Round
Ram R.,24/06/13,1.66,Wimbledon,1st Round
Ram R.,15/01/13,2.75,Australian Open,1st Round
Ram R.,2/9/2015,2.25,US Open,1st Round
Ram R.,19/01/16,9,Australian Open,1st Round
Sousa J.,27/08/13,13,US Open,1st Round
Sousa J.,30/08/13,3.5,US Open,2nd Round
Sousa J.,26/05/13,1.18,French Open,1st Round
Sousa J.,15/01/13,1.61,Australian Open,1st Round
Sousa J.,27/08/14,1.4,US Open,1st Round
Sousa J.,26/05/15,1.22,French Open,1st Round
Sousa J.,19/01/15,1.57,Australian Open,1st Round
Sousa J.,21/01/15,3,Australian Open,2nd Round
Sousa J.,1/9/2016,5,US Open,2nd Round
Sousa J.,30/08/16,1.36,US Open,1st Round
Sousa J.,28/06/16,1.44,Wimbledon,1st Round
Sousa J.,30/06/16,1.44,Wimbledon,2nd Round
Sousa J.,24/05/16,1.53,French Open,1st Round
Sousa J.,19/01/16,1.66,Australian Open,1st Round
Sousa J.,21/01/16,1.36,Australian Open,2nd Round
Sousa J.,29/05/17,1.9,French Open,1st Round
Sousa J.,1/9/2018,2.62,US Open,3rd Round
Sousa J.,28/08/2018,1.9,US Open,1st Round
Sousa J.,30/08/2018,3.75,US Open,2nd Round
Sousa J.,15/01/18,1.36,Australian Open,1st Round
Sousa J.,2/7/2019,1.22,Wimbledon,1st Round
Sousa J.,4/7/2019,6,Wimbledon,2nd Round
Sousa J.,6/7/2019,3.2,Wimbledon,3rd Round
Sousa J.,15/01/2019,1.72,Australian Open,1st Round
Sousa J.,17/01/2019,3,Australian Open,2nd Round
Kuznetsov An.,24/06/13,1.4,Wimbledon,1st Round
Kuznetsov An.,14/01/13,3.75,Australian Open,1st Round
Kuznetsov An.,25/08/14,2.1,US Open,1st Round
Kuznetsov An.,28/08/14,3.4,US Open,2nd Round
Kuznetsov An.,23/06/14,1.61,Wimbledon,1st Round
Kuznetsov An.,25/06/14,8,Wimbledon,2nd Round
Kuznetsov An.,25/05/15,1.3,French Open,1st Round
Kuznetsov An.,28/05/15,1.44,French Open,2nd Round
Kuznetsov An.,20/01/15,1.53,Australian Open,1st Round
Kuznetsov An.,29/08/16,1.57,US Open,1st Round
Kuznetsov An.,31/08/16,1.61,US Open,2nd Round
Kuznetsov An.,27/06/16,2,Wimbledon,1st Round
Kuznetsov An.,30/06/16,2.3,Wimbledon,2nd Round
Kuznetsov An.,22/05/16,1.08,French Open,1st Round
Kuznetsov An.,19/01/16,1.36,Australian Open,1st Round
Kuznetsov An.,21/01/16,2.1,Australian Open,2nd Round
Kuznetsov An.,23/01/16,1.44,Australian Open,3rd Round
Struff J.L.,25/06/13,1.36,Wimbledon,1st Round
Struff J.L.,26/08/14,2.75,US Open,1st Round
Struff J.L.,27/05/14,1.12,French Open,1st Round
Struff J.L.,28/08/2018,1.44,US Open,1st Round
Struff J.L.,30/08/2018,1.5,US Open,2nd Round
Struff J.L.,2/7/2018,2.62,Wimbledon,1st Round
Struff J.L.,4/7/2018,2.37,Wimbledon,2nd Round
Struff J.L.,29/05/18,1.4,French Open,1st Round
Struff J.L.,16/01/18,1.2,Australian Open,1st Round
Struff J.L.,27/08/2019,1.36,US Open,1st Round
Struff J.L.,2/7/2019,1.28,Wimbledon,1st Round
Struff J.L.,4/7/2019,2.2,Wimbledon,2nd Round
Struff J.L.,1/6/2019,3,French Open,3rd Round
Struff J.L.,27/05/2019,1.57,French Open,1st Round
Struff J.L.,30/05/2019,1.36,French Open,2nd Round
Delbonis F.,28/05/13,2.5,French Open,1st Round
Delbonis F.,26/08/14,1.28,US Open,1st Round
Delbonis F.,29/08/16,1.61,US Open,1st Round
Delbonis F.,18/01/16,4,Australian Open,1st Round
Delbonis F.,20/01/16,1.36,Australian Open,2nd Round
Delbonis F.,27/05/18,1.53,French Open,1st Round
Delbonis F.,28/05/2019,1.3,French Open,1st Round
Kyrgios N.,27/05/13,6.5,French Open,1st Round
Kyrgios N.,25/08/14,2.1,US Open,1st Round
Kyrgios N.,28/08/14,1.53,US Open,2nd Round
Kyrgios N.,1/7/2014,10,Wimbledon,4th Round
Kyrgios N.,24/06/14,1.28,Wimbledon,1st Round
Kyrgios N.,26/06/14,3.75,Wimbledon,2nd Round
Kyrgios N.,28/06/14,1.8,Wimbledon,3rd Round
Kyrgios N.,14/01/14,2,Australian Open,1st Round
Kyrgios N.,1/7/2015,1.12,Wimbledon,2nd Round
Kyrgios N.,3/7/2015,2.62,Wimbledon,3rd Round
Kyrgios N.,29/06/15,1.04,Wimbledon,1st Round
Kyrgios N.,25/05/15,1.22,French Open,1st Round
Kyrgios N.,28/05/15,1.12,French Open,2nd Round
Kyrgios N.,19/01/15,1.16,Australian Open,1st Round
Kyrgios N.,21/01/15,2.2,Australian Open,2nd Round
Kyrgios N.,23/01/15,1.16,Australian Open,3rd Round
Kyrgios N.,25/01/15,1.72,Australian Open,4th Round
Kyrgios N.,2/9/2016,1.11,US Open,2nd Round
Kyrgios N.,30/08/16,1.07,US Open,1st Round
Kyrgios N.,1/7/2016,1.08,Wimbledon,2nd Round
