ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Melzer J.,Ljubicic I.,38,16,6,4,6,4,6,4,,,,,3,0,Completed,2.62,1.44,2.45,1.53,2.53,1.48,2.2,1.5,2.61,1.59
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Udomchoke D.,Koubek S.,161,78,5,7,6,4,4,6,6,3,8,6,3,2,Completed,1.3,3.39,1.3,3.3,,,1.25,3.2,1.38,3.47
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Roddick A.,Vanek J.,4,100,6,1,7,6,6,2,,,,,3,0,Completed,1,17,1.02,12,1.02,25,1.01,10,1.01,51
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Sanguinetti D.,Seppi A.,64,88,6,3,6,2,6,1,,,,,3,0,Completed,1.5,2.5,1.55,2.4,1.6,2.3,1.5,2.2,1.61,2.54
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Andreev I.,Soderling R.,42,37,6,7,7,5,6,1,7,5,,,3,1,Completed,2.75,1.39,2.85,1.4,3.22,1.32,2.7,1.35,3.2,1.417
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Tursunov D.,Almagro N.,152,77,7,6,7,6,6,1,,,,,3,0,Completed,1.25,3.75,1.28,3.55,1.35,3.1,1.25,3.2,1.35,3.64
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Malisse X.,Marray J.,51,272,6,3,3,6,2,6,6,1,6,4,3,2,Completed,1.14,5,1.12,6,1.1,6.23,1.1,5,1.15,7.17
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Nieminen J.,9,70,3,6,6,7,6,4,7,5,6,2,3,2,Completed,1.1,6.5,1.1,6.5,1.13,5.5,1.1,5,1.12,8.8
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Lu Y.H.,Clement A.,153,121,7,6,0,6,6,1,3,6,6,3,3,2,Completed,3.25,1.33,2.85,1.4,3.12,1.34,2.9,1.3,3.24,1.41
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Kohlschreiber P.,20,61,6,3,3,6,6,3,6,2,,,3,1,Completed,1.11,6,1.12,6,1.13,5.5,1.1,5,1.13,7.95
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Tipsarevic J.,Haas T.,108,23,6,2,2,1,,,,,,,1,0,Retired,5.5,1.12,5.65,1.13,5.84,1.11,5,1.1,6.75,1.16
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Elseneer G.,Starace P.,191,86,6,3,7,6,6,3,,,,,3,0,Completed,1.28,3.5,1.25,3.85,1.28,3.46,1.25,3.2,1.3,4.05
