ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,VeselyJ.,6.1474,VeselyJ.,6.1474,YukselA.,6.1098,55,507,1.07,8.57,0.9346,0.1167
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,AlmagroN.,6.1043,LorenziP.,6.4865,AlmagroN.,6.1043,40,44,2.14,1.68,0.4673,0.5952
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DjokovicN.,6.9457,DjokovicN.,6.9457,StruffJ.L.,6.8109,2,63,1.03,12.47,0.9709,0.0802
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ZeballosH.,6.7499,MayerF.,6.3664,ZeballosH.,6.7499,50,71,1.53,2.47,0.6536,0.4049
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,GoffinD.,6.2789,GoffinD.,6.2789,HaaseR.,6.2279,11,59,1.15,5.32,0.8696,0.188
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,StepanekR.,6.7437,BaghdatisM.,6.1131,StepanekR.,6.7437,36,107,1.65,2.18,0.6061,0.4587
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DeGreefA.,6.5248,DeGreefA.,6.5248,SafwatM.,6.6045,134,199,2.35,1.56,0.4255,0.641
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,VerdascoF.,6.682,PospisilV.,6.8633,VerdascoF.,6.682,133,42,1.98,1.8,0.5051,0.5556
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,KhachanovK.,6.8015,KhachanovK.,6.8015,ZayidM.S.,6.169,53,1277,1.01,20.94,0.9901,0.0478
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,KohlschreiberP.,6.5159,JaziriM.,6.3526,KohlschreiberP.,6.5159,58,32,2.9,1.39,0.3448,0.7194
