ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Khachanov K.,Ferrer D.,40,37,1130,1175,6,1,7,6,3,6,7,5,,,3,1,Completed,1.22,4.33,1.21,3.95,1.25,4,1.25,4.46,1.28,4.5,1.24,4.14
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Ebden M.,Goffin D.,51,9,989,3110,6,4,6,3,6,4,,,,,3,0,Completed,2.75,1.44,2.65,1.42,2.75,1.44,2.95,1.46,2.95,1.51,2.76,1.45
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Kukushkin M.,Pospisil V.,77,97,734,594,6,4,3,6,6,2,6,3,,,3,1,Completed,1.61,2.3,1.6,2.2,1.61,2.25,1.67,2.35,1.67,2.4,1.62,2.3
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Baghdatis M.,Thiem D.,95,7,599,3835,6,4,7,5,2,0,,,,,2,0,Retired,6,1.12,5.4,1.12,5.5,1.14,6.7,1.14,6.75,1.16,6.04,1.13
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Berrettini M.,Sock J.,81,15,721,2110,6,7,6,7,6,4,7,5,6,2,3,2,Completed,2.2,1.66,2.15,1.62,2.2,1.67,2.3,1.69,2.3,1.75,2.18,1.69
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Herbert P.H.,Zverev M.,72,41,754,1085,6,4,6,3,6,4,,,,,3,0,Completed,2.62,1.5,2.55,1.45,2.62,1.5,2.75,1.51,2.8,1.53,2.64,1.49
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Zeballos H.,Andreozzi G.,126,105,438,535,4,6,7,6,6,4,6,4,,,3,1,Completed,1.72,2.1,1.72,2,1.73,2.1,1.75,2.2,1.79,2.2,1.73,2.13
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Simon G.,Basilashvili N.,53,74,950,750,6,1,7,6,6,1,,,,,3,0,Completed,1.33,3.4,1.32,3.1,1.36,3.25,1.36,3.47,1.37,3.5,1.34,3.3
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Benneteau J.,Fucsovics M.,63,49,876,997,7,5,7,5,6,3,,,,,3,0,Completed,1.61,2.3,1.57,2.25,1.61,2.25,1.64,2.42,1.67,2.45,1.61,2.34
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Paire B.,Jung J.,47,155,1010,366,7,5,7,6,6,4,,,,,3,0,Completed,1.4,3,1.38,2.8,1.4,3,1.51,2.72,1.56,4.5,1.43,2.86
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Sandgren T.,21,57,1715,923,6,3,6,1,6,2,,,,,3,0,Completed,1.03,15,1.02,10,1.05,10,1.03,18.09,1.04,20,1.03,14.2
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Shapovalov D.,Chardy J.,25,46,1588,1025,6,3,3,6,7,5,6,4,,,3,1,Completed,2.1,1.72,2.1,1.65,2.2,1.67,2.15,1.79,2.2,1.79,2.13,1.72
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Raonic M.,Millman J.,32,56,1430,931,7,6,7,6,7,6,,,,,3,0,Completed,1.12,6,1.1,5.9,1.12,6,1.11,8.05,1.15,8.4,1.11,6.72
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Novak D.,Pouille L.,171,19,338,1835,6,4,6,2,6,7,3,6,6,2,3,2,Completed,4,1.25,3.6,1.25,3.75,1.28,3.8,1.31,4.08,1.31,3.78,1.27
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Monfils G.,Lorenzi P.,44,86,1070,668,3,6,6,3,7,6,7,6,,,3,1,Completed,1.07,9,1.05,7.75,1.07,8,1.08,10.44,1.08,11.5,1.06,9.42
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Medvedev D.,Garcia-Lopez G.,67,65,847,863,6,3,6,4,6,2,,,,,3,0,Completed,1.33,3.5,1.33,3.05,1.36,3.25,1.38,3.31,1.4,3.5,1.36,3.14
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Querrey S.,Stakhovsky S.,13,109,2130,513,7,6,6,3,6,3,,,,,3,0,Completed,1.16,5,1.17,4.4,1.2,4.5,1.2,5.24,1.22,5.24,1.18,4.94
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Albot R.,Bedene A.,98,71,586,770,6,2,4,6,7,6,5,7,6,3,3,2,Completed,3.4,1.33,3.05,1.33,3,1.4,3.19,1.41,3.4,1.42,3.1,1.38
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Mcdonald M.,Jarry N.,103,66,554,859,7,6,5,7,3,6,6,2,11,9,3,2,Completed,1.66,2.2,1.6,2.2,1.61,2.2,1.68,2.34,1.8,2.34,1.66,2.24
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Mannarino A.,Harrison R.,26,59,1580,920,7,5,7,5,7,6,,,,,3,0,Completed,1.44,2.75,1.42,2.65,1.44,2.75,1.5,2.8,1.52,2.99,1.45,2.77
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Struff J.L.,Karlovic I.,64,112,865,480,6,7,3,6,7,6,7,6,13,11,3,2,Completed,2.37,1.57,2.25,1.57,2.25,1.61,2.37,1.66,2.41,1.67,2.3,1.62
40,London,Wimbledon,04/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Federer R.,Lacko L.,2,73,8720,752,6,4,6,4,6,1,,,,,3,0,Completed,1.02,19,1.01,11.5,1.02,15,1.02,22.73,1.03,27.25,1.02,17.49
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Tiafoe F.,Benneteau J.,52,63,985,876,4,6,6,3,6,4,6,2,,,3,1,Completed,2,1.8,1.95,1.75,2,1.8,2.02,1.88,2.05,1.95,1.97,1.85
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Simon G.,Berrettini M.,53,81,950,721,6,3,7,6,6,2,,,,,3,0,Completed,1.44,2.75,1.38,2.8,1.4,3,1.43,3.08,1.45,3.14,1.4,2.97
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,De Minaur A.,Herbert P.H.,80,72,723,754,6,2,6,7,7,5,6,3,,,3,1,Completed,1.8,2,1.75,1.95,1.8,2,1.88,2.02,1.89,2.1,1.82,2.01
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Kohlschreiber P.,Muller G.,27,60,1575,915,7,6,7,6,7,6,,,,,3,0,Completed,1.44,2.75,1.4,2.75,1.44,2.75,1.47,2.93,1.5,3,1.43,2.83
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Pella G.,Cilic M.,82,5,710,5060,3,6,1,6,6,4,7,6,7,5,3,2,Completed,13,1.04,10,1.02,10,1.04,18.03,1.03,20,1.05,14.07,1.03
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Nadal R.,Kukushkin M.,1,77,8770,734,6,4,6,3,6,4,,,,,3,0,Completed,1.04,13,1.04,8.5,1.07,8,1.07,10.68,1.09,13,1.06,9.55
40,London,Wimbledon,05/07/18,Grand Slam,Outdoor,Grass,2nd Round,5,Anderson K.,Seppi A.,8,50,3635,996,6,3,6,7,6,3,6,4,,,3,1,Completed,1.25,4,1.24,3.65,1.28,3.75,1.29,4.05,1.29,4.2,1.26,3.91
