match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,B365W,B365L,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2017_W_46,atp_104925,6055,4,TRUE,1,6,2,,,,1.03,1.04,41,25,16,7,0,0,9,7,23,2,0.696969697
m_2017_W_47,atp_105216,967,44,TRUE,3,7,6,6,,,1.18,1.2,106,68,38,3,4,4,14,24,68,2,0.693877551
m_2017_W_48,atp_100644,3070,12,TRUE,3,6,7,6,,,1.07,1.09,100,71,29,15,2,3,15,14,69,3,0.683168317
m_2017_W_49,atp_104571,745,65,TRUE,3,6,6,6,,,1.23,1.26,86,59,27,17,0,0,16,11,44,2,0.564102564
m_2017_W_50,atp_106058,2335,18,TRUE,3,6,4,7,6,,1.18,1.22,126,85,41,12,2,4,19,22,61,3,0.539823009
m_2017_W_51,atp_105583,661,79,TRUE,3,6,6,6,,,1.96,2.05,104,71,33,4,5,5,10,23,69,3,0.69
m_2017_W_52,atp_103819,5265,5,TRUE,1,6,3,,,,1.01,1.03,50,25,25,10,0,0,10,15,27,1,0.75
m_2017_W_53,atp_105992,993,41,TRUE,3,7,6,7,,,2.04,2.2,113,75,38,16,2,4,19,19,57,5,0.518181818
m_2017_W_54,atp_104607,2570,15,TRUE,3,6,3,7,6,,1.2,1.22,116,86,30,12,4,5,13,17,64,3,0.576576577
m_2017_W_55,atp_124116,248,216,TRUE,3,6,6,6,,,2.78,3.15,98,56,42,4,4,4,15,27,52,4,0.658227848
m_2017_W_56,atp_126207,756,64,TRUE,3,6,3,7,7,,2.65,2.95,132,86,46,15,4,8,24,22,81,4,0.618320611
m_2017_W_57,atp_106233,3895,8,TRUE,3,6,6,6,,,1.42,1.48,98,56,42,8,0,0,17,25,34,2,0.485714286
m_2017_W_58,atp_105777,3070,11,TRUE,3,7,6,6,,,1.07,1.09,96,60,36,9,6,8,17,19,49,10,0.563218391
m_2017_W_59,atp_104534,615,90,TRUE,3,4,6,1,6,6,1.3,1.34,130,92,38,0,9,12,16,22,94,3,0.666666667
m_2017_W_60,atp_104545,1930,21,TRUE,3,6,7,6,,,1.34,1.38,90,69,21,25,0,0,12,9,64,0,0.771084337
m_2017_W_61,atp_105173,896,51,TRUE,2,5,6,6,4,,4.57,5.6,117,67,50,12,5,7,19,31,68,2,0.666666667
m_2017_W_62,atp_111577,730,67,TRUE,0,5,,,,,3.45,3.8,20,8,12,2,0,0,6,6,3,0,0.375
m_2017_W_63,atp_103893,1188,33,TRUE,3,7,4,7,7,,2.16,2.3,148,100,48,10,8,11,22,26,88,4,0.575163399
m_2017_W_64,atp_105138,2155,19,TRUE,3,6,6,3,6,,1.17,1.21,126,69,57,2,4,8,20,37,71,3,0.669811321
m_2017_W_65,atp_104180,1675,26,TRUE,3,7,6,4,6,9,1.13,1.17,185,126,59,45,11,13,26,33,110,13,0.63583815
m_2017_W_66,atp_104542,3075,10,TRUE,3,6,7,6,,,1.09,1.1,106,59,47,13,4,4,32,15,51,2,0.653846154
m_2017_W_67,atp_105453,3830,9,TRUE,3,6,6,6,7,,1.16,1.21,147,96,51,7,4,6,21,30,93,8,0.654929577
m_2017_W_68,atp_105023,1495,28,TRUE,3,6,4,6,6,,1.19,1.23,117,73,44,32,0,1,30,14,62,0,0.666666667
m_2017_W_69,atp_105379,853,58,TRUE,3,6,3,6,6,,1.35,1.4,107,66,41,12,6,10,28,13,64,2,0.621359223
m_2017_W_70,atp_105074,457,124,TRUE,3,6,6,3,2,6,5.74,6.85,149,85,64,8,4,8,34,30,87,3,0.696
m_2017_W_71,atp_111575,1176,34,TRUE,3,3,7,7,7,,1.1,1.12,158,109,49,15,15,18,19,30,106,5,0.654320988
m_2017_W_72,atp_105227,4235,6,TRUE,3,7,6,7,,,1.09,1.11,123,71,52,31,0,2,25,27,55,5,0.591397849
m_2017_W_73,atp_105449,1395,31,TRUE,3,6,6,4,6,,1.18,1.2,129,84,45,10,10,11,25,20,83,2,0.715517241
m_2017_W_74,atp_104926,1430,29,TRUE,3,7,6,6,,,1.62,1.74,109,69,40,11,1,1,27,13,59,2,0.67816092
m_2017_W_75,atp_105668,400,141,TRUE,3,7,7,3,6,,3.11,3.55,133,94,39,14,3,4,15,24,82,2,0.635658915
m_2017_W_76,atp_104731,970,42,TRUE,3,6,7,6,,,1.29,1.33,94,70,24,16,0,0,11,13,53,1,0.646341463
m_2017_W_77,atp_104918,9390,1,TRUE,3,6,6,6,,,1.08,1.12,92,52,40,9,0,0,16,24,31,2,0.46969697
m_2017_W_78,atp_105332,960,46,TRUE,3,7,6,6,,,1.88,1.97,104,68,36,6,3,4,14,22,52,6,0.530612245
m_2017_W_79,atp_104745,7285,2,TRUE,3,6,6,7,,,1.05,1.08,107,62,45,4,2,3,23,22,55,2,0.647058824
m_2017_W_80,atp_103970,1005,39,TRUE,0,3,,,,,1.4,1.45,14,8,6,0,0,0,0,6,6,1,0.5
m_2017_W_81,atp_105777,3070,11,TRUE,3,6,6,6,,,1.13,1.15,94,59,35,9,7,7,11,24,53,4,0.638554217
m_2017_W_82,atp_104534,615,90,TRUE,3,6,7,5,7,6,5.01,6,187,137,50,5,12,14,23,27,121,2,0.654054054
m_2017_W_83,atp_104999,1396,30,TRUE,3,6,6,2,3,6,1.2,1.24,140,74,66,14,4,9,42,24,93,5,0.775
m_2017_W_84,atp_105208,50,589,TRUE,3,6,6,7,,,6.16,7.5,112,72,40,25,2,3,21,19,60,5,0.6
m_2017_W_85,atp_104792,2695,14,TRUE,3,7,6,6,,,1.22,1.25,110,73,37,13,5,7,19,18,73,1,0.675925926
m_2017_W_86,atp_104925,6055,4,TRUE,3,6,6,6,,,1.01,1.02,90,47,43,4,1,1,19,24,41,1,0.683333333
m_2017_W_87,atp_105173,896,51,TRUE,3,6,5,4,7,6,1.97,2.05,176,102,74,9,8,11,41,33,98,1,0.653333333
m_2017_W_88,atp_106233,3895,8,TRUE,3,5,6,6,6,,1.23,1.25,134,76,58,17,1,3,31,27,65,1,0.580357143
m_2017_W_89,atp_104607,2570,15,TRUE,3,6,6,6,6,,1.12,1.17,134,86,48,19,0,1,20,28,76,1,0.672566372
m_2017_W_90,atp_105683,4150,7,TRUE,3,3,7,6,7,,1.05,1.07,130,88,42,27,3,4,21,21,73,7,0.646017699
m_2017_W_91,atp_105077,1885,22,TRUE,3,7,6,4,6,6,1.63,1.69,168,110,58,16,10,14,34,24,106,4,0.646341463
m_2017_W_92,atp_111577,730,67,TRUE,3,6,7,6,6,,1.58,1.67,147,97,50,20,5,6,28,22,80,3,0.571428571
m_2017_W_93,atp_100644,3070,12,TRUE,3,6,6,6,,,1.08,1.11,88,60,28,11,1,1,12,16,55,4,0.654761905
m_2017_W_94,atp_103819,5265,5,TRUE,3,7,6,6,,,1.01,1.02,98,63,35,9,3,4,24,11,47,2,0.602564103
m_2017_W_95,atp_124116,248,216,TRUE,3,6,6,3,2,6,5.89,6.7,134,88,46,15,12,15,22,24,79,7,0.598484848
m_2017_W_96,atp_105138,2155,19,TRUE,3,6,7,3,6,,3.09,3.4,150,96,54,3,9,11,26,28,97,3,0.664383562
m_2017_W_97,atp_104180,1675,26,TRUE,3,7,7,6,,,1.38,1.42,120,71,49,19,3,5,22,27,61,4,0.62244898
m_2017_W_98,atp_105227,4235,6,TRUE,3,6,7,6,,,1.14,1.17,112,64,48,17,0,2,25,23,52,1,0.619047619
m_2017_W_99,atp_105332,960,46,TRUE,3,6,7,6,,,2.07,2.15,104,75,29,14,7,7,9,20,63,5,0.617647059
m_2017_W_100,atp_104745,7285,2,TRUE,3,6,6,7,,,1.06,1.08,112,69,43,7,4,5,22,21,65,1,0.691489362
m_2017_W_101,atp_104918,9390,1,TRUE,3,6,4,6,7,,1.09,1.12,121,77,44,15,7,10,21,23,76,7,0.644067797
m_2017_W_102,atp_104731,970,42,TRUE,3,7,6,7,,,1.13,1.16,107,77,30,27,0,0,22,8,59,2,0.686046512
m_2017_W_103,atp_105777,3070,11,TRUE,2,6,6,,,,1.05,1.07,56,30,26,5,1,1,13,13,29,0,0.805555556
m_2017_W_104,atp_105173,896,51,TRUE,3,7,4,5,6,6,4.36,5,177,111,66,7,9,14,38,28,105,4,0.628742515
m_2017_W_105,atp_105683,4150,7,TRUE,3,7,6,7,,,1.1,1.12,118,72,46,21,0,0,25,21,61,2,0.701149425
m_2017_W_106,atp_105023,1495,28,TRUE,3,6,3,7,1,7,3.34,3.7,146,99,47,22,5,8,20,27,78,5,0.553191489
