Loser,Date,B365L,Tournament,Round
Murray A.,25/06/05,3.25,Wimbledon,3rd Round
Murray A.,6/9/2006,1.72,US Open,4th Round
Murray A.,3/7/2006,1.53,Wimbledon,4th Round
Murray A.,30/05/06,2.25,French Open,1st Round
Murray A.,17/01/06,1.53,Australian Open,1st Round
Murray A.,1/9/2007,1.39,US Open,3rd Round
Murray A.,22/01/07,3.25,Australian Open,4th Round
Murray A.,8/9/2008,2.75,US Open,The Final
Murray A.,2/7/2008,5,Wimbledon,Quarterfinals
Murray A.,30/05/08,2.62,French Open,3rd Round
Murray A.,14/01/08,1.14,Australian Open,1st Round
Murray A.,8/9/2009,1.06,US Open,4th Round
Murray A.,3/7/2009,1.3,Wimbledon,Semifinals
Murray A.,2/6/2009,1.57,French Open,Quarterfinals
Murray A.,26/01/09,1.11,Australian Open,4th Round
Murray A.,5/9/2010,1.08,US Open,3rd Round
Murray A.,2/7/2010,2.37,Wimbledon,Semifinals
Murray A.,30/05/10,1.5,French Open,4th Round
Murray A.,31/01/10,2.5,Australian Open,The Final
Murray A.,10/9/2011,2.87,US Open,Semifinals
Murray A.,1/7/2011,2.62,Wimbledon,Semifinals
Murray A.,3/6/2011,5.5,French Open,Semifinals
Murray A.,30/01/11,2.4,Australian Open,The Final
Murray A.,8/7/2012,2.75,Wimbledon,The Final
Murray A.,6/6/2012,2.5,French Open,Quarterfinals
Murray A.,27/01/12,3.3,Australian Open,Semifinals
Murray A.,5/9/2013,1.28,US Open,Quarterfinals
Murray A.,27/01/13,2.62,Australian Open,The Final
Murray A.,4/9/2014,4,US Open,Quarterfinals
Murray A.,2/7/2014,1.25,Wimbledon,Quarterfinals
Murray A.,6/6/2014,6,French Open,Semifinals
Murray A.,22/01/14,2.2,Australian Open,Quarterfinals
Murray A.,7/9/2015,1.12,US Open,4th Round
Murray A.,10/7/2015,1.9,Wimbledon,Semifinals
Murray A.,6/6/2015,5,French Open,Semifinals
Murray A.,1/2/2015,2.75,Australian Open,The Final
Murray A.,7/9/2016,1.14,US Open,Quarterfinals
Murray A.,5/6/2016,3.5,French Open,The Final
Murray A.,31/01/16,5,Australian Open,The Final
Murray A.,12/7/2017,1.16,Wimbledon,Quarterfinals
Murray A.,9/6/2017,2.2,French Open,Semifinals
Murray A.,22/01/17,1.02,Australian Open,4th Round
Murray A.,29/08/2018,1.61,US Open,2nd Round
Murray A.,14/01/2019,4.5,Australian Open,1st Round
Okun N.,29/08/05,3.25,US Open,1st Round
Okun N.,20/06/05,2.37,Wimbledon,1st Round
Okun N.,1/9/2006,1.72,US Open,2nd Round
Sabau R.,30/08/05,13,US Open,1st Round
Sabau R.,27/06/06,3.25,Wimbledon,1st Round
Sabau R.,30/05/06,2.1,French Open,1st Round
Sabau R.,16/01/06,4.5,Australian Open,1st Round
Summerer T.,29/08/05,6,US Open,1st Round
Summerer T.,20/06/05,9,Wimbledon,1st Round
Vik R.,30/08/05,3.5,US Open,1st Round
Vik R.,25/05/05,8,French Open,2nd Round
Vik R.,30/08/06,4.5,US Open,1st Round
Vik R.,28/06/06,3.25,Wimbledon,1st Round
Vik R.,30/05/06,2.5,French Open,1st Round
Vik R.,17/01/06,7.5,Australian Open,1st Round
Wawrinka S.,3/9/2005,2,US Open,3rd Round
Wawrinka S.,21/06/05,2.62,Wimbledon,1st Round
Wawrinka S.,28/05/05,2.75,French Open,3rd Round
Wawrinka S.,3/9/2006,2.75,US Open,3rd Round
Wawrinka S.,1/7/2006,7.5,Wimbledon,3rd Round
Wawrinka S.,28/05/06,5,French Open,1st Round
Wawrinka S.,18/01/06,4.33,Australian Open,2nd Round
Wawrinka S.,3/9/2007,1.57,US Open,4th Round
Wawrinka S.,26/06/07,2.5,Wimbledon,1st Round
Wawrinka S.,31/05/07,4,French Open,2nd Round
Wawrinka S.,20/01/07,5,Australian Open,3rd Round
Wawrinka S.,2/9/2008,3.25,US Open,4th Round
Wawrinka S.,30/06/08,1.72,Wimbledon,4th Round
Wawrinka S.,31/05/08,1.53,French Open,3rd Round
Wawrinka S.,16/01/08,1.14,Australian Open,2nd Round
Wawrinka S.,1/9/2009,1.1,US Open,1st Round
Wawrinka S.,29/06/09,10,Wimbledon,4th Round
Wawrinka S.,29/05/09,2.25,French Open,3rd Round
Wawrinka S.,23/01/09,2.37,Australian Open,3rd Round
Wawrinka S.,9/9/2010,1.9,US Open,Quarterfinals
Wawrinka S.,21/06/10,1.44,Wimbledon,1st Round
Wawrinka S.,30/05/10,8,French Open,4th Round
Wawrinka S.,22/01/10,2.1,Australian Open,3rd Round
Wawrinka S.,2/9/2011,1.25,US Open,2nd Round
Wawrinka S.,22/06/11,1.11,Wimbledon,2nd Round
Wawrinka S.,29/05/11,8,French Open,4th Round
Wawrinka S.,25/01/11,4,Australian Open,Quarterfinals
Wawrinka S.,5/9/2012,17,US Open,4th Round
Wawrinka S.,27/06/12,1.36,Wimbledon,1st Round
Wawrinka S.,4/6/2012,2.2,French Open,4th Round
Wawrinka S.,20/01/12,1.33,Australian Open,3rd Round
Wawrinka S.,7/9/2013,5.5,US Open,Semifinals
Wawrinka S.,24/06/13,1.61,Wimbledon,1st Round
Wawrinka S.,5/6/2013,10,French Open,Quarterfinals
Wawrinka S.,20/01/13,19,Australian Open,4th Round
Wawrinka S.,3/9/2014,1.53,US Open,Quarterfinals
Wawrinka S.,2/7/2014,3.75,Wimbledon,Quarterfinals
Wawrinka S.,26/05/14,1.1,French Open,1st Round
Wawrinka S.,12/9/2015,3.5,US Open,Semifinals
Wawrinka S.,8/7/2015,1.44,Wimbledon,Quarterfinals
Wawrinka S.,30/01/15,4.33,Australian Open,Semifinals
Wawrinka S.,1/7/2016,1.5,Wimbledon,2nd Round
Wawrinka S.,3/6/2016,2.1,French Open,Semifinals
Wawrinka S.,25/01/16,1.57,Australian Open,4th Round
Wawrinka S.,3/7/2017,1.4,Wimbledon,1st Round
Wawrinka S.,11/6/2017,5,French Open,The Final
Wawrinka S.,26/01/17,2.5,Australian Open,Semifinals
Wawrinka S.,1/9/2018,2.2,US Open,3rd Round
Wawrinka S.,5/7/2018,1.3,Wimbledon,2nd Round
Wawrinka S.,28/05/18,1.66,French Open,1st Round
Wawrinka S.,18/01/18,1.36,Australian Open,2nd Round
Wawrinka S.,3/9/2019,1.72,US Open,Quarterfinals
Wawrinka S.,3/7/2019,1.16,Wimbledon,2nd Round
Wawrinka S.,4/6/2019,3.2,French Open,Quarterfinals
Wawrinka S.,17/01/2019,3.5,Australian Open,2nd Round
Wessels P.,3/9/2005,7,US Open,2nd Round
Wessels P.,21/06/05,2.25,Wimbledon,1st Round
Wessels P.,25/05/05,8,French Open,2nd Round
Wessels P.,19/01/05,7,Australian Open,2nd Round
Young D.,29/08/05,2.75,US Open,1st Round
Young D.,28/08/06,11,US Open,1st Round
Young D.,1/9/2007,3.75,US Open,3rd Round
Young D.,26/08/08,9,US Open,1st Round
Young D.,24/06/08,1.72,Wimbledon,1st Round
Young D.,28/05/08,3,French Open,1st Round
Young D.,14/01/08,2.2,Australian Open,1st Round
Young D.,31/08/09,4.5,US Open,1st Round
Young D.,1/9/2010,4.33,US Open,1st Round
Young D.,21/01/10,8,Australian Open,2nd Round
Young D.,8/9/2011,10,US Open,4th Round
Young D.,20/06/11,2,Wimbledon,1st Round
Young D.,18/01/11,4,Australian Open,1st Round
Young D.,28/08/12,41,US Open,1st Round
Young D.,25/06/12,13,Wimbledon,1st Round
Young D.,29/05/12,4,French Open,1st Round
Young D.,18/01/12,1.72,Australian Open,2nd Round
Young D.,30/08/13,2.37,US Open,2nd Round
Young D.,25/08/14,1.4,US Open,1st Round
Young D.,23/06/14,2.62,Wimbledon,1st Round
Young D.,31/05/14,5,French Open,3rd Round
Young D.,18/01/14,6,Australian Open,3rd Round
Young D.,7/9/2015,6.5,US Open,4th Round
Young D.,29/06/15,2.62,Wimbledon,1st Round
Young D.,25/05/15,4,French Open,1st Round
Young D.,22/01/15,11,Australian Open,2nd Round
Young D.,2/9/2016,2.5,US Open,2nd Round
Young D.,1/7/2016,2.1,Wimbledon,2nd Round
Young D.,22/05/16,2,French Open,1st Round
Young D.,19/01/16,1.5,Australian Open,1st Round
Young D.,31/08/17,3.75,US Open,2nd Round
Young D.,5/7/2017,11,Wimbledon,2nd Round
Young D.,29/05/17,5.5,French Open,1st Round
Young D.,19/01/17,3,Australian Open,2nd Round
Young D.,28/08/2018,12,US Open,1st Round
Young D.,16/01/18,8,Australian Open,1st Round
di Mauro A.,22/06/05,6.5,Wimbledon,2nd Round
di Mauro A.,1/9/2006,10,US Open,2nd Round
di Mauro A.,28/06/06,2.62,Wimbledon,1st Round
di Mauro A.,29/05/06,1.53,French Open,1st Round
di Mauro A.,29/05/07,2.25,French Open,1st Round
di Mauro A.,16/01/07,6.5,Australian Open,1st Round
Garcia A.,20/06/05,2.5,Wimbledon,1st Round
Goodall J.,20/06/05,1.4,Wimbledon,1st Round
Goodall J.,30/08/06,5,US Open,1st Round
Goodall J.,28/06/06,1.5,Wimbledon,1st Round
Goodall J.,26/06/07,4,Wimbledon,1st Round
Goodall J.,23/06/09,6,Wimbledon,1st Round
Goodall J.,25/06/12,3.75,Wimbledon,1st Round
Mathieu P.,20/06/05,17,Wimbledon,1st Round
Sherwood D.,22/06/05,6.5,Wimbledon,2nd Round
Ventura S.,20/06/05,8,Wimbledon,1st Round
Ventura S.,24/05/05,1.36,French Open,1st Round
Ventura S.,20/01/05,7,Australian Open,2nd Round
Ventura S.,27/08/08,4.5,US Open,1st Round
Ventura S.,24/06/08,3.5,Wimbledon,1st Round
Ventura S.,26/05/08,5,French Open,1st Round
Ventura S.,15/01/08,4,Australian Open,1st Round
Ventura S.,25/05/09,2.25,French Open,1st Round
Ventura S.,21/06/10,4.5,Wimbledon,1st Round
Ventura S.,25/05/10,3,French Open,1st Round
Armando H.,23/05/05,NA,French Open,1st Round
Brzezicki J.P.,23/05/05,8,French Open,1st Round
Brzezicki J.P.,2/6/2007,6.5,French Open,3rd Round
Brzezicki J.P.,14/01/08,2.1,Australian Open,1st Round
Brzezicki J.P.,1/9/2009,3,US Open,1st Round
Dlouhy L.,26/05/05,8.5,French Open,2nd Round
Dlouhy L.,30/08/06,1.83,US Open,1st Round
Dlouhy L.,29/06/06,3.39,Wimbledon,2nd Round
Dlouhy L.,2/6/2006,7,French Open,3rd Round
Dlouhy L.,16/01/06,2.62,Australian Open,1st Round
Dlouhy L.,26/06/07,2.37,Wimbledon,1st Round
Dlouhy L.,29/05/07,4,French Open,1st Round
Dlouhy L.,17/01/07,5.5,Australian Open,2nd Round
Dlouhy L.,14/01/08,13,Australian Open,1st Round
Gimeno-Traver D.,23/05/05,2,French Open,1st Round
Gimeno-Traver D.,2/9/2009,11,US Open,1st Round
Gimeno-Traver D.,25/06/09,5.5,Wimbledon,2nd Round
Gimeno-Traver D.,28/05/09,8,French Open,2nd Round
Gimeno-Traver D.,20/01/09,7,Australian Open,1st Round
Gimeno-Traver D.,5/9/2010,6,US Open,3rd Round
Gimeno-Traver D.,22/06/10,3.75,Wimbledon,1st Round
Gimeno-Traver D.,26/05/10,5,French Open,2nd Round
Gimeno-Traver D.,19/01/10,15,Australian Open,1st Round
Gimeno-Traver D.,31/08/11,2.2,US Open,1st Round
Gimeno-Traver D.,20/06/11,21,Wimbledon,1st Round
Gimeno-Traver D.,24/05/11,1.5,French Open,1st Round
Gimeno-Traver D.,18/01/11,2.1,Australian Open,1st Round
Gimeno-Traver D.,29/08/12,4,US Open,1st Round
Gimeno-Traver D.,29/05/12,4,French Open,1st Round
Gimeno-Traver D.,17/01/12,6,Australian Open,1st Round
Gimeno-Traver D.,27/08/13,3,US Open,1st Round
Gimeno-Traver D.,25/06/13,4.5,Wimbledon,1st Round
Gimeno-Traver D.,29/05/13,2.1,French Open,2nd Round
Gimeno-Traver D.,16/01/13,8,Australian Open,2nd Round
Gimeno-Traver D.,25/08/14,1.72,US Open,1st Round
Gimeno-Traver D.,24/06/14,4.5,Wimbledon,1st Round
Gimeno-Traver D.,25/05/14,3,French Open,1st Round
Gimeno-Traver D.,14/01/14,13,Australian Open,1st Round
Gimeno-Traver D.,1/9/2015,6.5,US Open,1st Round
Gimeno-Traver D.,29/06/15,17,Wimbledon,1st Round
Gimeno-Traver D.,28/05/15,17,French Open,2nd Round
Gimeno-Traver D.,19/01/16,3.75,Australian Open,1st Round
Sela D.,23/05/05,21,French Open,1st Round
Sela D.,31/08/07,3.5,US Open,2nd Round
Sela D.,17/01/07,7.5,Australian Open,2nd Round
Sela D.,27/08/08,6.5,US Open,1st Round
Sela D.,23/06/08,2.2,Wimbledon,1st Round
Sela D.,28/05/08,1.83,French Open,1st Round
Sela D.,16/01/08,3.39,Australian Open,2nd Round
Sela D.,1/9/2009,1.28,US Open,1st Round
Sela D.,29/06/09,11,Wimbledon,4th Round
Sela D.,27/05/09,7,French Open,2nd Round
Sela D.,24/01/09,6,Australian Open,3rd Round
Sela D.,3/9/2010,3.5,US Open,2nd Round
Sela D.,22/06/10,3,Wimbledon,1st Round
Sela D.,25/05/10,6,French Open,1st Round
Sela D.,19/01/10,1.22,Australian Open,1st Round
Sela D.,1/9/2011,21,US Open,2nd Round
Sela D.,22/06/11,2.5,Wimbledon,2nd Round
Sela D.,18/01/11,3,Australian Open,1st Round
Sela D.,27/06/12,4.5,Wimbledon,1st Round
Sela D.,28/05/12,26,French Open,1st Round
Sela D.,17/01/12,1.8,Australian Open,1st Round
Sela D.,29/08/13,3,US Open,2nd Round
Sela D.,15/01/13,5.5,Australian Open,1st Round
Sela D.,29/08/14,7,US Open,2nd Round
Sela D.,24/06/14,1.66,Wimbledon,1st Round
Sela D.,26/05/14,4.33,French Open,1st Round
Sela D.,13/01/14,2.62,Australian Open,1st Round
Sela D.,31/08/15,1.66,US Open,1st Round
Sela D.,29/06/15,2.37,Wimbledon,1st Round
Sela D.,27/05/15,21,French Open,2nd Round
Sela D.,23/01/15,7,Australian Open,3rd Round
Sela D.,29/08/16,4,US Open,1st Round
Sela D.,27/06/16,5,Wimbledon,1st Round
Sela D.,23/05/16,2.62,French Open,1st Round
Sela D.,23/01/16,2.75,Australian Open,3rd Round
Sela D.,30/08/17,5,US Open,2nd Round
Sela D.,8/7/2017,11,Wimbledon,3rd Round
Sela D.,18/01/17,1.44,Australian Open,2nd Round
Sela D.,3/7/2018,19,Wimbledon,1st Round
Sela D.,29/05/18,5.5,French Open,1st Round
Sela D.,15/01/18,3.5,Australian Open,1st Round
Simon G.,23/05/05,1.8,French Open,1st Round
Simon G.,31/08/06,5.5,US Open,2nd Round
Simon G.,28/06/06,4.5,Wimbledon,1st Round
Simon G.,30/05/06,1.33,French Open,1st Round
Simon G.,20/01/06,3.25,Australian Open,3rd Round
Simon G.,30/08/07,2.37,US Open,2nd Round
Simon G.,28/06/07,4,Wimbledon,2nd Round
Simon G.,1/6/2007,3.25,French Open,2nd Round
Simon G.,15/01/07,1.66,Australian Open,1st Round
Simon G.,30/08/08,2.62,US Open,3rd Round
Simon G.,28/06/08,5,Wimbledon,3rd Round
Simon G.,28/05/08,2.25,French Open,1st Round
Simon G.,18/01/08,11,Australian Open,3rd Round
Simon G.,6/9/2009,1.53,US Open,3rd Round
Simon G.,29/06/09,2.1,Wimbledon,4th Round
Simon G.,29/05/09,1.38,French Open,3rd Round
Simon G.,28/01/09,8,Australian Open,Quarterfinals
Simon G.,5/9/2010,9,US Open,3rd Round
Simon G.,26/06/10,9,Wimbledon,3rd Round
Simon G.,8/9/2011,1.8,US Open,4th Round
Simon G.,25/06/11,4.5,Wimbledon,3rd Round
Simon G.,30/05/11,3.25,French Open,4th Round
Simon G.,19/01/11,10,Australian Open,2nd Round
Simon G.,2/9/2012,3.75,US Open,3rd Round
Simon G.,28/06/12,1.57,Wimbledon,2nd Round
Simon G.,1/6/2012,2.2,French Open,3rd Round
Simon G.,19/01/12,1.61,Australian Open,2nd Round
Simon G.,25/06/13,2.25,Wimbledon,1st Round
Simon G.,2/6/2013,13,French Open,4th Round
Simon G.,21/01/13,19,Australian Open,4th Round
Simon G.,2/9/2014,2.5,US Open,4th Round
Simon G.,27/06/14,21,Wimbledon,3rd Round
Simon G.,30/05/14,2.87,French Open,3rd Round
Simon G.,18/01/14,5.5,Australian Open,3rd Round
Simon G.,1/9/2015,1.25,US Open,1st Round
Simon G.,8/7/2015,6.5,Wimbledon,Quarterfinals
Simon G.,31/05/15,3.5,French Open,4th Round
Simon G.,24/01/15,3,Australian Open,3rd Round
Simon G.,1/9/2016,1.2,US Open,2nd Round
Simon G.,30/06/16,1.8,Wimbledon,2nd Round
Simon G.,27/05/16,1.33,French Open,3rd Round
Simon G.,24/01/16,21,Australian Open,4th Round
Simon G.,28/08/17,3.25,US Open,1st Round
Simon G.,6/7/2017,4.33,Wimbledon,2nd Round
Simon G.,29/05/17,1.44,French Open,1st Round
Simon G.,21/01/17,5,Australian Open,3rd Round
Simon G.,29/08/2018,4,US Open,2nd Round
Simon G.,10/7/2018,6,Wimbledon,4th Round
Simon G.,1/6/2018,4.33,French Open,3rd Round
Simon G.,17/01/18,1.66,Australian Open,2nd Round
Simon G.,29/08/2019,3.2,US Open,2nd Round
Simon G.,4/7/2019,1.16,Wimbledon,2nd Round
Simon G.,30/05/2019,1.3,French Open,2nd Round
Simon G.,17/01/2019,1.14,Australian Open,2nd Round
Tenconi T.,24/05/05,3.75,French Open,1st Round
Tsonga J.W.,24/05/05,10,French Open,1st Round
Tsonga J.W.,2/9/2007,4.5,US Open,3rd Round
Tsonga J.W.,4/7/2007,3.2,Wimbledon,4th Round
Tsonga J.W.,15/01/07,15,Australian Open,1st Round
Tsonga J.W.,31/08/08,1.57,US Open,3rd Round
Tsonga J.W.,27/01/08,3.4,Australian Open,The Final
Tsonga J.W.,8/9/2009,1.61,US Open,4th Round
Tsonga J.W.,26/06/09,1.5,Wimbledon,3rd Round
Tsonga J.W.,1/6/2009,2.75,French Open,4th Round
Tsonga J.W.,28/01/09,1.5,Australian Open,Quarterfinals
Tsonga J.W.,30/06/10,4.33,Wimbledon,Quarterfinals
Tsonga J.W.,30/05/10,2,French Open,4th Round
Tsonga J.W.,29/01/10,6,Australian Open,Semifinals
Tsonga J.W.,9/9/2011,3.25,US Open,Quarterfinals
Tsonga J.W.,1/7/2011,2.75,Wimbledon,Semifinals
Tsonga J.W.,27/05/11,1.66,French Open,3rd Round
Tsonga J.W.,22/01/11,1.44,Australian Open,3rd Round
Tsonga J.W.,30/08/12,1.04,US Open,2nd Round
Tsonga J.W.,6/7/2012,3,Wimbledon,Semifinals
Tsonga J.W.,5/6/2012,5,French Open,Quarterfinals
Tsonga J.W.,23/01/12,1.16,Australian Open,4th Round
Tsonga J.W.,26/06/13,1.2,Wimbledon,2nd Round
Tsonga J.W.,7/6/2013,2.3,French Open,Semifinals
Tsonga J.W.,23/01/13,5,Australian Open,Quarterfinals
Tsonga J.W.,1/9/2014,2.2,US Open,4th Round
Tsonga J.W.,30/06/14,8,Wimbledon,4th Round
Tsonga J.W.,1/6/2014,7,French Open,4th Round
Tsonga J.W.,20/01/14,2.37,Australian Open,4th Round
Tsonga J.W.,8/9/2015,1.61,US Open,Quarterfinals
Tsonga J.W.,4/7/2015,1.44,Wimbledon,3rd Round
Tsonga J.W.,5/6/2015,2.75,French Open,Semifinals
Tsonga J.W.,7/9/2016,6,US Open,Quarterfinals
Tsonga J.W.,6/7/2016,7,Wimbledon,Quarterfinals
Tsonga J.W.,28/05/16,1.44,French Open,3rd Round
Tsonga J.W.,24/01/16,2.1,Australian Open,4th Round
Tsonga J.W.,31/08/17,1.4,US Open,2nd Round
Tsonga J.W.,8/7/2017,1.33,Wimbledon,3rd Round
Tsonga J.W.,31/05/17,1.03,French Open,1st Round
Tsonga J.W.,24/01/17,2.3,Australian Open,Quarterfinals
Tsonga J.W.,19/01/18,3,Australian Open,3rd Round
Tsonga J.W.,27/08/2019,1.4,US Open,1st Round
Tsonga J.W.,6/7/2019,5,Wimbledon,3rd Round
Tsonga J.W.,29/05/2019,3.4,French Open,2nd Round
Tsonga J.W.,17/01/2019,10,Australian Open,2nd Round
Tuksar S.,24/05/05,8,French Open,1st Round
Tuksar S.,29/05/06,2.5,French Open,1st Round
Healey N.,20/01/05,5.5,Australian Open,2nd Round
Healey N.,29/05/06,10,French Open,1st Round
Healey N.,21/01/06,8,Australian Open,3rd Round
Kimmich M.,18/01/05,4.5,Australian Open,1st Round
Kimmich M.,16/01/06,8.5,Australian Open,1st Round
Kindlmann D.,17/01/05,11,Australian Open,1st Round
Kindlmann D.,1/6/2006,5,French Open,2nd Round
Kindlmann D.,31/08/09,15,US Open,1st Round
Kindlmann D.,20/01/09,2.75,Australian Open,1st Round
Kindlmann D.,24/05/10,7.5,French Open,1st Round
Kindlmann D.,19/01/10,21,Australian Open,1st Round
Luzzi F.,17/01/05,3,Australian Open,1st Round
Luzzi F.,19/01/06,5.5,Australian Open,2nd Round
March O.,18/01/05,2.62,Australian Open,1st Round
van Gemerden M.,18/01/05,4.5,Australian Open,1st Round
van Gemerden M.,29/06/06,8,Wimbledon,2nd Round
van Gemerden M.,30/05/06,3,French Open,1st Round
Alves T.,31/08/06,5.5,US Open,2nd Round
Alves T.,29/08/08,21,US Open,2nd Round
Alves T.,31/08/09,15,US Open,1st Round
Alves T.,25/06/09,7,Wimbledon,2nd Round
Alves T.,25/05/09,NA,French Open,1st Round
Alves T.,24/05/10,7,French Open,1st Round
Becker B.,4/9/2006,6.5,US Open,4th Round
Becker B.,28/06/06,3.5,Wimbledon,2nd Round
Becker B.,27/08/07,1.5,US Open,1st Round
Becker B.,26/06/07,1.44,Wimbledon,1st Round
Becker B.,29/05/07,2.2,French Open,1st Round
Becker B.,15/01/07,5,Australian Open,1st Round
Becker B.,26/06/08,1.66,Wimbledon,2nd Round
Becker B.,28/05/08,7,French Open,1st Round
Becker B.,15/01/08,11,Australian Open,1st Round
Becker B.,1/9/2009,9,US Open,1st Round
Becker B.,25/06/09,1.66,Wimbledon,2nd Round
Becker B.,3/9/2010,5.5,US Open,2nd Round
Becker B.,23/06/10,4,Wimbledon,2nd Round
Becker B.,25/05/10,2.25,French Open,1st Round
Becker B.,21/01/10,2.1,Australian Open,2nd Round
Becker B.,20/01/11,2.5,Australian Open,2nd Round
Becker B.,29/08/12,2.75,US Open,1st Round
Becker B.,28/06/12,3,Wimbledon,2nd Round
Becker B.,28/05/12,3.25,French Open,1st Round
Becker B.,16/01/12,6,Australian Open,1st Round
Becker B.,30/08/13,34,US Open,2nd Round
Becker B.,24/06/13,26,Wimbledon,1st Round
Becker B.,26/05/13,13,French Open,1st Round
Becker B.,17/01/13,19,Australian Open,2nd Round
Becker B.,25/08/14,1.66,US Open,1st Round
Becker B.,25/06/14,2.75,Wimbledon,2nd Round
Becker B.,26/05/14,6,French Open,1st Round
Becker B.,14/01/14,1.72,Australian Open,1st Round
Becker B.,1/9/2015,4.33,US Open,1st Round
Becker B.,29/06/15,1.83,Wimbledon,1st Round
Becker B.,29/05/15,23,French Open,3rd Round
Becker B.,24/01/15,9,Australian Open,3rd Round
Becker B.,30/08/16,21,US Open,1st Round
Becker B.,1/7/2016,8,Wimbledon,2nd Round
Becker B.,22/05/16,8,French Open,1st Round
Becker B.,19/01/16,1.83,Australian Open,1st Round
Berrer M.,30/08/06,7,US Open,1st Round
Berrer M.,27/06/06,1.61,Wimbledon,1st Round
Berrer M.,31/08/07,1.83,US Open,2nd Round
Berrer M.,28/06/07,4.5,Wimbledon,2nd Round
Berrer M.,16/01/07,1.8,Australian Open,1st Round
Berrer M.,25/08/08,2.2,US Open,1st Round
Berrer M.,23/06/08,15,Wimbledon,1st Round
Berrer M.,26/05/08,4,French Open,1st Round
Berrer M.,16/01/08,11,Australian Open,2nd Round
Berrer M.,1/9/2009,2.25,US Open,1st Round
Berrer M.,22/01/09,6.5,Australian Open,2nd Round
Berrer M.,30/08/10,1.5,US Open,1st Round
Berrer M.,22/06/10,2.25,Wimbledon,1st Round
Berrer M.,24/05/10,2.25,French Open,1st Round
Berrer M.,21/01/10,1.61,Australian Open,2nd Round
Berrer M.,30/08/11,1.57,US Open,1st Round
Berrer M.,20/06/11,5,Wimbledon,1st Round
Berrer M.,28/05/11,13,French Open,3rd Round
Berrer M.,18/01/11,3.25,Australian Open,1st Round
Berrer M.,30/05/12,1.66,French Open,2nd Round
Berrer M.,16/01/14,3.75,Australian Open,2nd Round
Berrer M.,31/08/15,4.5,US Open,1st Round
Berrer M.,30/06/15,3,Wimbledon,1st Round
Berrer M.,26/05/15,4.5,French Open,1st Round
Chiudinelli M.,3/9/2006,8,US Open,3rd Round
Chiudinelli M.,15/01/07,2.25,Australian Open,1st Round
Chiudinelli M.,5/9/2009,8,US Open,3rd Round
Chiudinelli M.,3/9/2010,5.5,US Open,2nd Round
Chiudinelli M.,22/06/10,2.25,Wimbledon,1st Round
Chiudinelli M.,27/05/10,4.5,French Open,2nd Round
Chiudinelli M.,21/01/10,12,Australian Open,2nd Round
Chiudinelli M.,27/08/14,2.25,US Open,1st Round
Chiudinelli M.,31/08/16,4.5,US Open,2nd Round
Del Potro J.M.,30/08/06,1.57,US Open,1st Round
Del Potro J.M.,29/05/06,4.33,French Open,1st Round
Del Potro J.M.,2/9/2007,4.5,US Open,3rd Round
Del Potro J.M.,28/06/07,13,Wimbledon,2nd Round
Del Potro J.M.,29/05/07,15,French Open,1st Round
Del Potro J.M.,18/01/07,3,Australian Open,2nd Round
Del Potro J.M.,3/9/2008,2.5,US Open,Quarterfinals
Del Potro J.M.,25/06/08,2.25,Wimbledon,2nd Round
Del Potro J.M.,28/05/08,3,French Open,2nd Round
Del Potro J.M.,17/01/08,5.5,Australian Open,2nd Round
Del Potro J.M.,25/06/09,1.28,Wimbledon,2nd Round
Del Potro J.M.,5/6/2009,4.33,French Open,Semifinals
Del Potro J.M.,27/01/09,5,Australian Open,Quarterfinals
Del Potro J.M.,24/01/10,1.5,Australian Open,4th Round
Del Potro J.M.,4/9/2011,1.28,US Open,3rd Round
Del Potro J.M.,27/06/11,4.5,Wimbledon,4th Round
Del Potro J.M.,28/05/11,5.5,French Open,3rd Round
Del Potro J.M.,20/01/11,1.66,Australian Open,2nd Round
Del Potro J.M.,7/9/2012,6,US Open,Quarterfinals
Del Potro J.M.,3/7/2012,1.66,Wimbledon,4th Round
Del Potro J.M.,5/6/2012,3.4,French Open,Quarterfinals
Del Potro J.M.,24/01/12,3.9,Australian Open,Quarterfinals
Del Potro J.M.,31/08/13,1.1,US Open,2nd Round
Del Potro J.M.,5/7/2013,5,Wimbledon,Semifinals
Del Potro J.M.,19/01/13,1.04,Australian Open,3rd Round
Del Potro J.M.,16/01/14,1.05,Australian Open,2nd Round
Del Potro J.M.,8/9/2016,1.57,US Open,Quarterfinals
Del Potro J.M.,3/7/2016,1.16,Wimbledon,3rd Round
Del Potro J.M.,9/9/2017,3.25,US Open,Semifinals
Del Potro J.M.,6/7/2017,1.12,Wimbledon,2nd Round
Del Potro J.M.,9/9/2018,2.75,US Open,The Final
Del Potro J.M.,11/7/2018,3.2,Wimbledon,Quarterfinals
Del Potro J.M.,8/6/2018,6,French Open,Semifinals
Del Potro J.M.,20/01/18,1.57,Australian Open,3rd Round
Del Potro J.M.,3/6/2019,1.44,French Open,4th Round
Gabashvili T.,1/9/2006,9,US Open,2nd Round
Gabashvili T.,31/08/07,3,US Open,2nd Round
Gabashvili T.,25/06/07,17,Wimbledon,1st Round
Gabashvili T.,30/05/07,1.61,French Open,1st Round
Gabashvili T.,15/01/07,1.61,Australian Open,1st Round
Gabashvili T.,25/08/08,2.62,US Open,1st Round
Gabashvili T.,1/9/2009,2.2,US Open,1st Round
